tripinfo_arrival,tripinfo_arrivalLane,tripinfo_arrivalPos,tripinfo_arrivalSpeed,tripinfo_depart,tripinfo_departDelay,tripinfo_departLane,tripinfo_departPos,tripinfo_departSpeed,tripinfo_devices,tripinfo_duration,tripinfo_id,tripinfo_rerouteNo,tripinfo_routeLength,tripinfo_speedFactor,tripinfo_timeLoss,tripinfo_vType,tripinfo_vaporized,tripinfo_waitSteps
19.00,1/0to1/1_0,90.50,12.96,5.00,2.00,gneE22_0,5.10,0.00,tripinfo_3,14.00,3,0,140.15,1.00,3.88,DEFAULT_VEHTYPE,,0
29.00,gneE12_0,45.25,13.46,19.00,0.00,-gneE11_0,5.10,0.00,tripinfo_19,10.00,19,0,90.40,1.00,3.05,DEFAULT_VEHTYPE,,0
51.00,gneE13_0,45.25,12.99,14.00,0.00,gneE23_0,5.10,0.00,tripinfo_14,37.00,14,0,185.90,1.00,23.37,DEFAULT_VEHTYPE,,14
51.00,-gneE20_0,45.25,13.40,24.00,0.00,-gneE12_0,5.10,0.00,tripinfo_24,27.00,24,0,185.90,1.00,13.38,DEFAULT_VEHTYPE,,3
52.00,-gneE19_0,45.25,12.73,15.00,2.00,2/2to1/2_0,5.10,0.00,tripinfo_13,37.00,13,0,135.65,1.00,26.87,DEFAULT_VEHTYPE,,18
54.00,gneE7_0,45.25,12.60,30.00,0.00,gneE23_0,5.10,0.00,tripinfo_30,24.00,30,0,190.68,1.00,9.45,DEFAULT_VEHTYPE,,0
56.00,gneE14_0,45.25,13.55,17.00,0.00,gneE22_0,5.10,0.00,tripinfo_17,39.00,17,0,186.34,1.00,24.70,DEFAULT_VEHTYPE,,13
59.00,1/0to2/0_0,90.50,13.35,16.00,0.00,-gneE13_0,5.10,0.00,tripinfo_16,43.00,16,0,240.15,1.00,25.28,DEFAULT_VEHTYPE,,13
59.00,gneE14_0,45.25,13.05,12.00,0.00,-gneE7_0,5.10,0.00,tripinfo_12,47.00,12,0,294.90,1.00,25.20,DEFAULT_VEHTYPE,,15
59.00,gneE12_0,45.25,12.71,6.00,0.00,-gneE14_0,5.10,0.00,tripinfo_6,53.00,6,0,290.40,1.00,31.77,DEFAULT_VEHTYPE,,23
61.00,gneE14_0,45.25,13.27,15.00,0.00,-gneE7_0,5.10,0.00,tripinfo_15,46.00,15,0,294.90,1.00,24.11,DEFAULT_VEHTYPE,,12
61.00,gneE12_0,45.25,13.71,7.00,0.00,-gneE13_0,5.10,0.00,tripinfo_7,54.00,7,0,294.90,1.00,32.62,DEFAULT_VEHTYPE,,22
61.00,-gneE22_0,45.25,13.55,2.00,0.00,gneE22_0,5.10,0.00,tripinfo_2,59.00,2,0,281.50,1.00,37.39,DEFAULT_VEHTYPE,,25
65.00,-gneE22_0,45.25,12.96,5.00,0.00,-gneE12_0,5.10,0.00,tripinfo_5,60.00,5,0,190.68,1.00,45.04,DEFAULT_VEHTYPE,,32
65.00,gneE12_0,45.25,12.86,28.00,0.00,0/0to1/0_0,5.10,0.00,tripinfo_28,37.00,28,0,240.15,1.00,19.15,DEFAULT_VEHTYPE,,10
68.00,gneE11_0,45.25,13.10,8.00,0.00,-gneE9_0,5.10,0.00,tripinfo_8,60.00,8,0,288.84,1.00,38.25,DEFAULT_VEHTYPE,,22
70.00,gneE11_0,45.25,13.70,11.00,1.00,-gneE9_0,5.10,0.00,tripinfo_10,59.00,10,0,288.84,1.00,37.23,DEFAULT_VEHTYPE,,17
70.00,-gneE22_0,45.25,13.30,18.00,0.00,-gneE7_0,5.10,0.00,tripinfo_18,52.00,18,0,391.22,1.00,23.39,DEFAULT_VEHTYPE,,9
72.00,gneE14_0,45.25,12.90,23.00,0.00,-gneE14_0,5.10,0.00,tripinfo_23,49.00,23,0,287.81,1.00,27.84,DEFAULT_VEHTYPE,,13
73.00,0/0to0/1_0,90.50,13.32,20.00,0.00,gneE19_0,5.10,0.00,tripinfo_20,53.00,20,0,429.66,1.00,21.59,DEFAULT_VEHTYPE,,10
75.00,-gneE22_0,45.25,13.16,33.00,0.00,-gneE7_0,5.10,0.00,tripinfo_33,42.00,33,0,391.22,1.00,13.12,DEFAULT_VEHTYPE,,2
75.00,gneE9_0,45.25,12.96,1.00,0.00,-gneE14_0,5.10,0.00,tripinfo_1,74.00,1,0,490.40,1.00,38.56,DEFAULT_VEHTYPE,,29
76.00,gneE5_0,45.25,13.69,32.00,0.00,-gneE13_0,5.10,0.00,tripinfo_32,44.00,32,0,284.50,1.00,22.39,DEFAULT_VEHTYPE,,7
78.00,gneE13_0,45.25,12.95,62.00,0.00,1/0to0/0_0,5.10,0.00,tripinfo_62,16.00,62,0,140.15,1.00,5.12,DEFAULT_VEHTYPE,,0
79.00,-gneE22_0,45.25,13.40,49.00,2.00,1/0to0/0_0,5.10,0.00,tripinfo_47,30.00,47,0,230.97,1.00,12.66,DEFAULT_VEHTYPE,,4
79.00,gneE7_0,45.25,13.76,0.00,0.00,-gneE12_0,5.10,0.00,tripinfo_0,79.00,0,0,490.40,1.00,43.52,DEFAULT_VEHTYPE,,28
95.00,1/1to1/2_0,90.50,6.63,51.00,0.00,2/2to2/1_0,5.10,0.00,tripinfo_51,44.00,51,0,276.40,1.00,24.07,DEFAULT_VEHTYPE,,15
97.00,-gneE19_0,45.25,12.67,9.00,0.00,gneE20_0,5.10,0.00,tripinfo_9,88.00,9,0,290.40,1.00,66.30,DEFAULT_VEHTYPE,,49
97.00,gneE9_0,45.25,13.22,39.00,0.00,-gneE8_0,5.10,0.00,tripinfo_39,58.00,39,0,95.72,1.00,50.73,DEFAULT_VEHTYPE,,42
97.00,-gneE20_0,45.25,13.57,22.00,0.00,-gneE7_0,5.10,0.00,tripinfo_22,75.00,22,0,390.68,1.00,46.14,DEFAULT_VEHTYPE,,28
